Journal Title	ISSN	ESSN	RoMEO Record ID	Updated
International Journal of Contemporary Pediatrics	2349-3283	2349-3291	2295	2015-06-02
International Journal of Continuing Engineering Education and Life-Long Learning	1560-4624	1741-5055	148	2018-05-01
International Journal of Control	0020-7179	1366-5820	1141	2014-03-26
International Journal of Control, Automation and Systems	1598-6446	2005-4092	74	2014-05-16
International Journal of Cooperative Information Systems	0218-8430	1793-6365	155	2014-10-29
International Journal of Corporate Governance	1754-3037	1754-3045	148	2018-05-01
International Journal of Corporate Social Responsibility		2366-0074	22	2016-11-11
International Journal of Corporate Strategy and Social Responsibility	2054-8079	2054-8087	148	2018-05-01
International Journal of Corpus Linguistics	1384-6655	1569-9811	372	2016-02-22
International Journal of Corrosion	1687-9325	1687-9333	100	2018-01-08
International Journal of Cosmetic Science	0142-5463	1468-2494	2050	2017-11-24
International Journal of Crashworthiness	1358-8265	1754-2111	1141	2014-03-26
International Journal of Creative Interfaces and Computer Graphics	1947-3117	1947-3125	455	2018-03-23
International Journal of Criminal Justice Sciences		0973-5089	543	2015-06-10
International Journal of Critical Accounting	1757-9848	1757-9856	148	2018-05-01
International Journal of Critical Computer-Based Systems	1757-8779	1757-8787	148	2018-05-01
International Journal of Critical Cultural Studies	2327-0055	2327-2376	687	2016-11-16
International Journal of Critical Illness and Injury Science	2229-5151	2231-5004	89	2017-02-09
International Journal of Critical Infrastructure Protection	1874-5482		30	2015-05-01
International Journal of Critical Infrastructures	1475-3219	1741-8038	148	2018-05-01
International Journal of Cross Cultural Management	1470-5958	1741-2838	65	2013-03-11
International Journal of Cryptography and Security	2249-7013	2249-7021	994	2013-08-09
International Journal of Cuban Studies	1756-3461	1756-347X	2919	2016-12-13
International Journal of Cultural Policy	1028-6632	1477-2833	1140	2014-03-26
International Journal of Cultural Property	0940-7391	1465-7317	2130	2014-10-09
International Journal of Cultural Studies	1367-8779	1460-356X	65	2013-03-11
International Journal of Culture and History		2332-5518	1849	2014-07-03
International Journal of Culture and Mental Health	1754-2863	1754-2871	1139	2014-03-26
International Journal of Culture, Tourism and Hospitality Research	1750-6182		31	2018-02-16
International Journal of Current Research in Physiology and Pharmacology	2523-6695	2523-6709	1747	2018-02-26
International Journal of Cyber Behavior, Psychology and Learning	2155-7136	2155-7144	455	2018-03-23
International Journal of Cyber Criminology	0974-2891		544	2010-09-08
International Journal of Cyber Ethics in Education	2155-6903	2155-6911	455	2018-03-23
International Journal of Cyber-Security and Digital Forensics	2305-0012		2478	2016-02-19
International Journal of Cyber Warfare and Terrorism	1947-3435	1947-3443	455	2018-03-23
International Journal of Cybernetics and Systemics	2249-6998	2249-7005	994	2013-08-09
International Journal of Dairy Science	1811-9743	1811-9751	943	2011-02-10
International Journal of Dairy Technology	1364-727X	1471-0307	2050	2017-11-24
International Journal of Damage Mechanics	1056-7895	1530-7921	65	2013-03-11
International Journal of Data Analysis Techniques and Strategies	1755-8050	1755-8069	148	2018-05-01
International Journal Of Data and Network Security		2319-1236	3005	2017-03-22
International Journal of Data Mining and Bioinformatics	1748-5673	1748-5681	148	2018-05-01
International Journal of Data Mining, Modelling and Management	1759-1163	1759-1171	148	2018-05-01
International Journal of Data Science	2053-0811	2053-082X	148	2018-05-01
International Journal of Data Warehousing and Mining	1548-3924	1548-3932	455	2018-03-23
International Journal of Decision Sciences, Risk and Management	1753-7169	1753-7177	148	2018-05-01
International Journal of Decision Support System Technology	1941-6296	1941-630X	455	2018-03-23
International Journal of Decision Support Systems	2050-6988	2050-6996	148	2018-05-01
International Journal of Democratic and Development Studies	2346-7223	2350-224X	1705	2013-11-14
International Journal of Dental and Medical Research	2349-8579	2349-6401	1789	2014-11-03
International Journal of Dental and Medical Specialty	2350-0921	2394-4196	2818	2016-06-28
International Journal of Dental Hygiene	1601-5029	1601-5037	2050	2017-11-24
International Journal of Dental Research		2310-2993	2177	2014-12-04
International Journal of Dental Sciences and Research		2333-1135	2188	2014-12-10
International Journal of Dentistry	1687-8728	1687-8736	100	2018-01-08
International Journal of Dependable and Trustworthy Information Systems	1947-9050	1947-9069	455	2018-03-23
International Journal of Dermatology	0011-9059	1365-4632	2050	2017-11-24
International Journal of Dermatology and Clinical Research		2455-8605	2636	2016-09-01
International Journal of Design and Nature and Ecodynamics	1755-7437	1755-7445	511	2016-12-13
International Journal of Design Creativity and Innovation	2165-0349	2165-0357	1141	2014-03-26
International Journal of Design Education	2325-128X	2325-1298	687	2016-11-16
International Journal of Design Engineering	1751-5874	1751-5882	148	2018-05-01
International Journal of Design in Society	2325-1328	2325-1360	687	2016-11-16
International Journal of Design Management and Professional Practice	2325-162X	2325-1638	687	2016-11-16
International Journal of Designed Objects	2325-1379	2325-1395	687	2016-11-16
International Journal of Development and Conflict	2010-2690	2010-2704	155	2014-10-29
International Journal of Development Issues	1446-8956		31	2018-02-16
International Journal of Developmental Biology	0214-6282	1696-3547	415	2017-11-23
International Journal of Developmental Disabilities	2047-3869	2047-3877	121	2014-01-22
International Journal of Developmental Neuroscience	0736-5748		30	2015-05-01
International Journal of Developmental Science	2192-001X		44	2016-04-18
International Journal of Developmental Sciences	2192-001X	2191-7485	44	2016-07-18
International Journal of Dharma Studies		2196-8802	948	2015-12-22
International Journal of Diabetes and Clinical Research	2377-3634		2665	2015-09-16
International Journal of Diabetes and Metabolism	1606-7754	2073-5944	242	2018-03-29
International Journal of Diabetes in Developing Countries	0973-3930	1998-3832	89	2014-08-26
International Journal of Diabetes Mellitus	1877-5934		30	2015-05-01
International Journal of Diagnostic Imaging	2331-5857	2331-5865	915	2014-07-28
International Journal of Diasporic Chinese Studies	1793-7248	1793-9631	155	2014-10-29
International Journal of Differential Equations	1687-9643	1687-9651	100	2018-01-08
International Journal of Digital Crime and Forensics	1941-6210	1941-6229	455	2018-03-23
International Journal of Digital Culture and Electronic Tourism	1753-5212	1753-5220	148	2018-05-01
International Journal of Digital Curation		1746-8256	2411	2015-07-17
International Journal of Digital Earth	1753-8947	1753-8955	1141	2014-03-26
International Journal of Digital Library Systems	1947-9077	1947-9085	455	2018-03-23
International Journal of Digital Literacy and Digital Competence	1947-3494	1947-3508	455	2018-03-23
International Journal of Digital Multimedia Broadcasting	1687-7578	1687-7586	100	2018-01-08
International Journal of Digital Television	2040-4182		409	2016-02-11
International Journal of Disability, Development and Education	1034-912X	1465-346X	1140	2014-03-26
International Journal of Disability Management	1833-8550	1834-4887	2129	2014-10-09
International Journal of Disaster Medicine	1503-1438	1651-3037	1141	2014-03-26
International Journal of Disaster Resilience in the Built Environment	1759-5908		31	2018-02-16
International Journal of Disaster Risk Reduction	2212-4209		30	2015-05-01
International Journal of Disaster Risk Science	2095-0055	2192-6395	948	2014-02-28
International Journal of Disclosure and Governance	1741-3591	1746-6539	210	2015-11-23
International Journal of Discrimination and the Law	1358-2291	2047-9468	65	2013-03-11
International Journal of Diseases and Disorders		2329-9835	2634	2015-11-18
International Journal of Distance Education Technologies	1539-3100	1539-3119	455	2018-03-23
International Journal of Distributed Sensor Networks	1550-1329	1550-1477	1402	2016-12-15
International Journal of Distributed Systems and Technologies	1947-3532	1947-3540	455	2018-03-23
International Journal of Diverse Identities	2327-7866	2327-8560	687	2016-11-16
International Journal of Diversity in Education	2327-0020	2327-2163	687	2016-11-16
International Journal of Diversity in Organizations, Communities and Nations: Annual Review	1447-9532	1447-9583	687	2016-11-16
International Journal of Doctoral Studies	1556-8881	1556-8873	710	2017-01-27
International Journal of Driving Science		2397-1959	1132	2017-02-14
International Journal of Drug Discovery	0975-4423	0975-914X	994	2013-08-09
International Journal of Drug Policy	0955-3959		30	2015-05-01
International Journal of Drug Regulatory Affairs	2321-7162	2321-6794	1996	2014-07-03
International Journal of Dynamical Systems and Differential Equations	1752-3583	1752-3591	148	2018-05-01
International Journal of Dynamics and Control	2195-268X	2195-2698	74	2014-09-23
International Journal of E-Adoption	1937-9633	1937-9641	455	2018-03-23
International Journal of e-Business Management		1835-5412	581	2011-01-06
International Journal of E-Business Research	1548-1131	1548-114X	455	2018-03-23
International Journal of e-Collaboration	1548-3673	1548-3681	455	2018-03-23
International Journal of E-Entrepreneurship and Innovation	1947-8585	1947-8593	455	2018-03-23
International Journal of E-Health and Medical Communications	1947-315X	1947-3168	455	2018-03-23
International Journal of e-Healthcare Information Systems		2046-3332	3183	2018-02-08
International Journal of E-Learning and Educational Technologies in the Digital Media		2410-0439	2478	2015-08-18
International Journal of E-Planning Research	2160-9918	2160-9926	455	2018-03-23
International Journal of E-Politics	1947-9131	1947-914X	455	2018-03-23
International Journal of E-Services and Mobile Applications	1941-627X	1941-6288	455	2018-03-23
International Journal of Early Childhood	0020-7187	1878-4658	74	2014-09-16
International Journal of Early Childhood Learning	2327-7939	2327-8722	687	2016-11-16
International Journal of Early Years Education	0966-9760	1469-8463	1140	2014-03-26
International Journal of Earth Sciences	1437-3254	1437-3262	74	2014-09-16
International Journal of Earthquake and Impact Engineering	2397-9372	2397-9380	148	2018-05-01
International Journal of Eating Disorders	0276-3478	1098-108X	2050	2017-11-24
International Journal of Ecology	2324-7967	2324-7975	1326	2012-11-14
International Journal of Econometrics and Financial Management		2374-2011	2188	2014-12-10
International Journal of Economic Policy in Emerging Economies	1752-0452	1752-0460	148	2018-05-01
International Journal of Economic Theory	1742-7355	1742-7363	1499	2014-03-18
International Journal of Economics and Accounting	2041-868X	2041-8698	148	2018-05-01
International Journal of Economics and Business Modeling	0976-531X	0976-5352	994	2013-08-09
International Journal of Economics and Business Research	1756-9850	1756-9869	148	2018-05-01
International Journal of Economics and Finance	1916-971X	1916-9728	914	2014-07-28
International Journal of Economics and Financial Research		2411-9407	1821	2015-08-25
International Journal of Economics, Commerce and Management		2348-0386	1776	2014-01-30
International Journal of Education		1948-5476	1849	2014-07-03
International Journal of Education and Literacy Studies		2202-9478	1813	2014-03-13
International Journal of Education and Religion	1389-9791	1570-0623	154	2016-01-22
International Journal of Education Economics and Development	1759-5673	1759-5681	148	2018-05-01
International Journal of Education Policy and Leadership		1555-5062	831	2014-08-26
International Journal of Education Psychology		2014-3591	2035	2014-08-05
International Journal of Education through Art	1743-5234		409	2016-02-11
International Journal of Educational Advancement	1744-6503	1744-6511	210	2015-11-23
International Journal of Educational and Psychological Researches		2395-2296	89	2017-03-09
International Journal of Educational Development	0738-0593		30	2015-05-01
International Journal of Educational Leadership and Management		2014-9018	2035	2014-08-05
International Journal of Educational Management	0951-354X		31	2018-02-16
International Journal of Educational Organization and Leadership	2329-1656	2329-1591	687	2016-11-16
International Journal of Educational Policy Research and Review		2360-7076	1836	2014-08-08
International Journal of Educational Reform	1056-7879		582	2010-08-31
International Journal of Educational Research	0883-0355		30	2015-05-01
International Journal of Educational Research and Reviews		2329-9843	2634	2015-11-18
International Journal of Educational Sciences	0975-1122		733	2010-08-10
International Journal of Electric and Hybrid Vehicles	1751-4088	1751-4096	148	2018-05-01
International Journal of Electrical and Computer Engineering		2088-8708	1290	2018-01-04
International Journal of Electrical and Electronics Engineering	2073-0535		566	2016-11-11
International Journal of Electrical and Power Engineering	2158-7566	2158-7574	1297	2012-08-22
International Journal of Electrical, Computer and Systems Engineering		1307-5179	566	2016-11-11
International Journal of Electrical Engineering Education	0020-7209	2050-4578	65	2016-03-15
International Journal of Electrical Power and Energy Systems	0142-0615		30	2015-05-01
International Journal of Electrical Power and Energy Systems Engineering	2070-3767		566	2016-11-11
International Journal of Electrical Systems Science and Engineering	2070-3953		566	2016-11-11
International Journal of Electrochemistry	2090-3529	2090-3537	100	2018-01-08
International Journal of Electronic Banking	1753-5239	1753-5247	148	2018-05-01
International Journal of Electronic Business	1470-6067	1741-5063	148	2018-05-01
International Journal of Electronic Commerce	1086-4415	1557-9301	1140	2015-07-20
International Journal of Electronic Customer Relationship Management	1750-0664	1750-0672	148	2018-05-01
International Journal of Electronic Democracy	1742-4224	1742-4232	148	2018-05-01
International Journal of Electronic Finance	1746-0069	1746-0077	148	2018-05-01
International Journal of Electronic Governance	1742-7509	1742-7517	148	2018-05-01
International Journal of Electronic Government Research	1548-3886	1548-3894	455	2018-03-23
International Journal of Electronic Healthcare	1741-8453	1741-8461	148	2018-05-01
International Journal of Electronic Marketing and Retailing	1741-1025	1741-1033	148	2018-05-01
International Journal of Electronic Security and Digital Forensics	1751-911X	1751-9128	148	2018-05-01
International Journal of Electronic Transport	1742-6952	1742-6960	148	2018-05-01
International Journal of Electronics	0020-7217	1362-3060	1141	2014-03-26
International Journal Of Electronics and Data Communication		2278-5620	3005	2017-03-22
International Journal of Electronics and Telecommunications		2300-1933	1851	2018-05-02
International Journal of Electronics, Circuits and Systems	2070-3988		566	2016-11-11
International Journal of Electronics, Communications and Computer Engineering	2073-0543		566	2016-11-11
International Journal of Electronics Letters	2168-1724	2168-1732	1141	2014-03-26
International Journal of Embedded and Real-Time Communication Systems	1947-3176	1947-3184	455	2018-03-23
International Journal of Embedded Systems	2356-5942	2382-2562	2507	2015-08-17
International Journal of Emergency Management	1471-4825	1741-5071	148	2018-05-01
International Journal of Emergency Medicine	1865-1372	1865-1380	948	2014-02-28
International Journal of Emergency Services	2047-0894		31	2018-02-16
International Journal of Emerging Electric Power Systems		1553-779X	414	2014-04-01
International Journal of Emerging Markets	1746-8809		31	2018-02-16
International Journal of Emerging Multidisciplinary Fluid Sciences	1756-8315		144	2014-03-18
International Journal of Emerging Technologies in Learning		1863-0383	792	2010-09-08
International Journal of Endocrine Oncology	2045-0869	2045-0877	3224	2018-03-20
International Journal of Endocrinology	2224-0721	2307-1427	2899	2016-11-16
International Journal of Energetic Materials and Chemical Propulsion	2150-766X	2150-7678	2372	2018-03-08
International Journal of Energy and Environment	2076-2895	2076-2909	1612	2013-08-12
International Journal of Energy and Environmental Engineering	2251-6832	2008-9163	948	2016-02-19
International Journal of Energy and Statistics	2335-6804	2335-6812	155	2014-10-29
International Journal of Energy, Environment, and Economics		1054-853X	1800	2014-03-06
International Journal of Energy for a Clean Environment	2150-3621	2150-363X	2372	2018-03-08
International Journal of Energy Optimization and Engineering	2160-9500	2160-9543	455	2018-03-23
International Journal of Energy Production and Management	2056-3272	2056-3280	511	2016-12-13
International Journal of Energy Research	0363-907X	1099-114X	2050	2017-11-24
International Journal of Energy Sector Management	1750-6220		31	2018-02-16
International Journal of Energy Technology and Policy	1472-8923	1741-508X	148	2018-05-01
International Journal of Engine Research	1468-0874	2041-3149	65	2013-06-20
International Journal of Engineering and Applied Sciences	2010-3980	2010-3999	566	2016-11-11
International Journal of Engineering and Geosciences		2548-0960	2959	2017-02-13
International Journal of Engineering and Industrial Management		1647-578X	3068	2017-10-03
International Journal of Engineering and Natural Sciences	2010-4006	2010-4014	566	2016-11-11
International Journal of Engineering and Technologies		2297-623X	2785	2016-05-09
International Journal of Engineering and Technology		2227-524X	2177	2014-12-04
International Journal of Engineering Business Management		1847-9790	1402	2016-12-15
International Journal of Engineering Management and Economics	1756-5154	1756-5162	148	2018-05-01
International Journal of Engineering Mathematics	2356-7007	2314-6109	100	2018-01-08
International Journal of Engineering Pedagogy		2192-4880	792	2012-03-13
International Journal of Engineering Research	2347-5013	2319-6890	2225	2015-02-10
International Journal Of Engineering Research and General Science		2091-2730	2246	2015-02-26
International Journal of Engineering Research in Africa	1663-3571	1663-4144	303	2016-11-08
International Journal of Engineering Science	0020-7225		30	2015-05-01
International Journal of Engineering Science and Technology		0975-5462	746	2016-12-07
International Journal of Engineering Systems Modelling and Simulation	1755-9758	1755-9766	148	2018-05-01
International Journal of Engineering Works		2409-2770	2204	2015-01-08
International Journal of English Language and Translation Studies	2308-5460		2515	2015-08-18
International Journal of English Language Education		2325-0887	1849	2014-07-03
International Journal of English Language Teaching	2329-7913	2329-7921	915	2014-07-28
International Journal of English Linguistics	1923-869X	1923-8703	914	2014-07-28
International Journal of English Studies	1578-7044	1989-6131	969	2016-12-15
International Journal of Enology and Viticulture		3426-7212	2634	2015-11-18
International Journal of Enterprise Information Systems	1548-1115	1548-1123	455	2018-03-23
International Journal of Enterprise Network Management	1748-1252	1748-1260	148	2018-05-01
International Journal of Entrepreneurial Behaviour and Research	1355-2554		31	2018-02-16
International Journal of Entrepreneurial Venturing	1742-5360	1742-5379	148	2018-05-01
International Journal of Entrepreneurship and Innovation	1465-7503	2043-6882	65	2016-09-26
International Journal of Entrepreneurship and Innovation Management	1368-275X	1741-5098	148	2018-05-01
International Journal of Entrepreneurship and Small Business	1476-1297	1741-8054	148	2018-05-01
International Journal of Environment and Health	1743-4955	1743-4963	148	2018-05-01
International Journal of Environment and Pollution	0957-4352	1741-5101	148	2018-05-01
International Journal of Environment and Sustainable Development	1474-6778	1478-7466	148	2018-05-01
International Journal of Environment and Waste Management	1478-9876	1478-9868	148	2018-05-01
International Journal of Environment, Workplace and Employment	1741-8437	1741-8445	148	2018-05-01
International Journal of Environmental Analytical Chemistry	0306-7319	1029-0397	1141	2014-03-26
International Journal of Environmental and Earth Sciences	2010-4022	2010-4030	566	2016-11-11
International Journal of Environmental Bioremediation and Biodegradation		2333-8628	2188	2014-12-10
International Journal of Environmental, Cultural, Economic, and Social Sustainability: Annual Review	1832-2077		687	2016-11-16
International Journal of Environmental Engineering	1756-8463	1756-8471	148	2018-05-01
International Journal of Environmental Health Engineering		2277-9183	89	2014-08-26
International Journal of Environmental Health Research	0960-3123	1369-1619	1141	2014-03-26
International Journal of Environmental Impacts	2398-2640	2398-2659	511	2016-12-13
International Journal of Environmental Policy and Decision Making	1752-6906	1752-6914	148	2018-05-01
International Journal of Environmental Research and Public Health		1660-4601	487	2016-12-14
International Journal of Environmental Science and Engineering	2070-3775		566	2016-11-11
International Journal of Environmental Science and Technology		1735-2630	74	2014-09-23
International Journal of Environmental Science and Water Resources		9424-5215	2634	2015-11-18
International Journal of Environmental Sciences	0976-4402		797	2010-09-06
International Journal of Environmental Studies	0020-7233	1029-0400	1139	2014-03-26
International Journal of Environmental Sustainability	2325-1077	2325-1085	687	2016-11-16
International Journal of Environmental Technology and Management	1466-2132	1741-511X	148	2018-05-01
International Journal of Epidemiology	0300-5771	1464-3685	1476	2017-05-30
International Journal of Estuarine and Coastal Law	0268-0106	1875-2993	154	2016-01-22
International Journal of Ethics	1526-422X		2340	2015-07-24
International Journal of Ethnomedicine and Pharmacognosy	2437-1262	2437-1254	2292	2015-06-01
International Journal of Evaluation and Research in Education		2252-8822	1290	2018-01-04
International Journal of Event and Festival Management	1758-2954		31	2018-02-16
International Journal of Evidence and Proof	1365-7127	1740-5572	65	2015-03-27
International Journal of Evidence-Based Healthcare	1744-1595	1744-1609	48	2016-09-26
International Journal of Evolution		2324-8548	2222	2016-04-20
International Journal of Evolution Equations		1549-2907	1800	2014-03-06
International Journal of Evolutionary Biology	2090-8032	2090-052X	100	2018-01-08
International Journal of Exergy	1742-8297	1742-8300	148	2018-05-01
International Journal of Experimental and Computational Biomechanics	1755-8735	1755-8743	148	2018-05-01
International Journal of Experimental Design and Process Optimisation	2040-2252	2040-2260	148	2018-05-01
International Journal of Experimental Pathology	0959-9673	1365-2613	2050	2017-11-24
International Journal of Export Marketing	2059-089X	2059-0903	148	2018-05-01
International Journal of Family Medicine	2090-2042	2090-2050	100	2018-01-08
International Journal of Fashion Design, Technology and Education	1754-3266	1754-3274	1141	2014-03-26
International Journal of Fashion Studies	2051-7106	2051-7114	409	2016-02-11
International Journal of Fatigue	0142-1123		30	2015-05-01
International Journal of Feminist Approaches to Bioethics	1937-4585	1937-4577	436	2018-04-20
International Journal of Finance and Accounting Studies		2203-4706	1813	2014-03-13
International Journal of Finance and Economics	1076-9307	1099-1158	2052	2017-11-24
International Journal of Financial Innovation in Banking	2055-6780	2055-6799	148	2018-05-01
International Journal of Financial Markets and Derivatives	1756-7130	1756-7149	148	2018-05-01
International Journal of Financial Research	1923-4023	1923-4031	915	2014-07-28
International Journal of Financial Services Management	1460-6712	1741-8062	148	2018-05-01
International Journal of Financial Studies		2227-7072	487	2016-12-14
International Journal of Fisheries and Aquaculture	2006-9839		213	2014-10-16
International Journal of Flexible Manufacturing Systems	0920-6299	1572-9370	74	2014-05-16
International Journal of Flow Control	1756-8250		144	2014-03-18
International Journal of Fluid and Thermal Engineering	2070-3759		566	2016-11-11
International Journal of Fluid Dynamics	2328-0557	2328-0549	1326	2014-12-09
International Journal of Fluid Mechanics Research	1064-2277		2372	2018-03-08
International Journal of Food Contamination		2196-2804	948	2015-12-22
International Journal of Food Design	2056-6522		409	2016-02-11
International Journal of Food Engineering		1556-3758	414	2014-04-01
International Journal of Food Microbiology	0168-1605		30	2015-05-01
International Journal of Food Processing Technology		2408-9826	3023	2017-05-05
International Journal of Food Properties	1094-2912	1532-2386	1141	2014-03-26
International Journal of Food Safety, Nutrition and Public Health	1479-3911	1479-392X	148	2018-05-01
International Journal of Food Science	2356-7015	2314-5765	100	2018-01-08
International Journal of Food Science and Technology	0950-5423	1365-2621	2050	2017-11-24
International Journal of Food Sciences and Nutrition	0963-7486	1465-3478	1141	2015-10-27
International Journal of Food Studies	2182-1054		2624	2015-10-20
International Journal of Forecasting	0169-2070		2943	2017-01-10
International Journal of Forensic Engineering	1744-9944	1744-9952	148	2018-05-01
International Journal of Forensic Mental Health	1499-9013	1932-9903	1139	2014-03-26
International Journal of Forensic Odontology	2542-5013	2542-5021	89	2017-03-09
International Journal of Foresight and Innovation Policy	1740-2816	1740-2824	148	2018-05-01
International Journal of Forest Engineering	1494-2119	0843-5243	1139	2014-03-26
International Journal of Forestry Research	1687-9368	1687-9376	100	2018-01-08
International Journal of Forming Processes	1292-7775		794	2016-02-24
International Journal of Foundations of Computer Science	0129-0541	1793-6373	155	2014-10-29
International Journal of Fracture	0376-9429	1573-2673	74	2014-09-16
International Journal of Francophone Studies	1368-2679		409	2016-02-11
International Journal of Fruit Science	1553-8362	1553-8621	1141	2014-03-26
International Journal of Functional Informatics and Personalised Medicine	1756-2104	1756-2112	148	2018-05-01
International Journal of Fuzzy Computation and Modelling	2052-353X	2052-3548	148	2018-05-01
International Journal of Fuzzy System Applications	2156-177X	2156-1761	455	2018-03-23
International Journal of Game-Based Learning	2155-6849	2155-6857	455	2018-03-23
International Journal of Game Theory	0020-7276	1432-1270	74	2014-09-16
International Journal of Gaming and Computer-Mediated Simulations	1942-3888	1942-3896	455	2018-03-23
International Journal of Gastrointestinal Cancer	1537-3649	1559-0739	319	2016-05-11
International Journal of Gastronomy and Food Science	1878-450X		30	2015-05-01
International Journal of Gender and Entrepreneurship	1756-6266		31	2018-02-16
International Journal of Gender, Sexuality and Law		2056-3914	3006	2017-03-23
International Journal of Gender Studies in Developing Societies	2052-0352	2052-0360	148	2018-05-01
International Journal of General Medicine		1178-7074	407	2014-01-30
International Journal of General Systems	0308-1079	1563-5104	76	2014-03-26
International Journal of Genetics	0975-2862	0975-9158	994	2013-08-09
International Journal of Genetics and Cancer	2393-8293		2339	2015-06-25
International Journal of Genetics and Molecular Biology	2006-9863		213	2014-10-16
International Journal of Genomics	2314-436X	2314-4378	100	2018-01-08
International Journal of Genomics and Proteomics	0976-4887	0976-4895	994	2013-08-09
International Journal of Geo-Engineering	2092-9196	2198-2783	948	2015-12-22
International Journal of Geographical Information Science	1365-8816	1365-8824	1141	2014-03-26
International Journal of Geographical Information Systems	0269-3798	1362-3087	76	2014-03-26
International Journal of Geomagnetism and Aeronomy	1524-4423		6	2017-11-27
International Journal of Geomatics and Geosciences	0976-4380		797	2010-09-06
International Journal of Geomechanics	1532-3641	1943-5622	14	2016-11-29
International Journal of Geometric Methods in Modern Physics	0219-8878	1793-6977	155	2014-10-29
International Journal of Geophysics	1687-885X	1687-8868	100	2018-01-08
International Journal of Geosciences	2156-8359	2156-8367	1018	2014-11-19
International Journal of Geotechnical Earthquake Engineering	1947-8488	1947-8496	455	2018-03-23
International Journal of Geriatric Psychiatry	0885-6230	1099-1166	2050	2017-11-24
International Journal of Gerontology	1873-9598		30	2015-05-01
International Journal of Global Energy Issues	0954-7118	1741-5128	148	2018-05-01
International Journal of Global Environmental Issues	1466-6650	1741-5136	148	2018-05-01
International Journal of Global Warming	1758-2083	1758-2091	148	2018-05-01
International Journal of Globalisation and Small Business	1479-3059	1479-3067	148	2018-05-01
International Journal of Granular Computing, Rough Sets and Intelligent Systems	1757-2703	1757-2711	148	2018-05-01
International Journal of Green Computing	1948-5018	1948-5026	455	2018-03-23
International Journal of Green Economics	1744-9928	1744-9936	148	2018-05-01
International Journal of Green Energy	1543-5075	1543-5083	1141	2014-03-26
International Journal of Green Nanotechnology	1943-0892	1943-0906	65	2013-08-27
International Journal of Green Nanotechnology: Biomedicine	1943-085X	1943-0868	76	2014-03-26
International Journal of Green Nanotechnology: Materials Science and Engineering	1943-0841	1943-0833	1141	2014-03-26
International Journal of Green Nanotechnology: Physics and Chemistry	1943-0876	1943-0884	76	2014-03-26
International Journal of Green Pharmacy	0973-8258	1998-4103	89	2014-08-26
International Journal of Greenhouse Gas Control	1750-5836		30	2015-05-01
International Journal of Grid and High Performance Computing	1938-0259	1938-0267	455	2018-03-23
International Journal of Grid and Utility Computing	1741-847X	1741-8488	148	2018-05-01
International Journal of Group Psychotherapy	0020-7284		371	2018-02-22
International Journal of Group Tensions	0047-0732	1573-3408	74	2014-05-16
International Journal of Gynecologic Pathology	0277-1691	1538-7151	48	2016-09-26
International Journal of Gynecological Cancer	1048-891X	1525-1438	48	2016-09-26
International Journal of Gynecological Pathology	0277-1691	1538-7151	48	2016-09-26
International Journal of Gynecology and Obstetrics	0020-7292	1879-3479	2050	2017-11-24
International journal of Gynecology, Obstetrics and Neonatal Care		2408-9761	3023	2017-05-05
International Journal of Handheld Computing Research	1947-9158	1947-9166	455	2018-03-23
International Journal of Health		2309-1630	2177	2014-12-04
International Journal of Health and Allied Sciences	2278-4292	2278-344X	89	2014-08-26
International Journal of Health Care Finance and Economics	1389-6563	1573-6962	74	2014-09-16
International Journal of Health Care Quality Assurance	0952-6862		31	2018-02-16
International Journal of Health Geographics		1476-072X	22	2015-11-23
International Journal of Health Governance	2059-4631		31	2018-02-16
International Journal of Health Planning and Management	0749-6753	1099-1751	2050	2017-11-24
International Journal of Health Policy and Management	2322-5939		1414	2014-08-08
International Journal of Health Professions		2296-990X	1851	2018-05-02
International Journal of Health Promotion and Education	1463-5240	2164-9545	1139	2014-03-26
International Journal of Health Research and Innovation	2051-5057	2051-5065	2152	2015-08-07
International Journal of Health Services	0020-7314	1541-4469	65	2015-04-08
International Journal of Health System and Disaster Management		2347-9019	89	2017-03-09
International Journal of Health, Wellness and Society	2156-8960	2156-9053	687	2016-11-16
International Journal of Healthcare and Medical Sciences		2414-2999	2522	2016-04-15
International Journal of Healthcare Delivery Reform Initiatives	1938-0216	1938-0224	455	2018-03-23
International Journal of Healthcare Information Systems and Informatics	1555-3396	1555-340X	455	2018-03-23
International Journal of Healthcare Management	2047-9700	2047-9719	121	2014-01-22
International Journal of Healthcare Technology and Management	1368-2156	1741-5144	148	2018-05-01
International Journal of Heart Rhythm	2352-4197	2352-4200	89	2017-03-09
International Journal of Heat and Fluid Flow	0142-727X		30	2015-05-01
International Journal of Heat and Mass Transfer	0017-9310		30	2015-05-01
International Journal of Heavy Vehicle Systems	1744-232X	1741-5152	148	2018-05-01
International Journal of Hematologic Oncology	2045-1393	2045-1407	3224	2018-03-20
International Journal of Hematology	0925-5710	1865-3774	74	2014-09-16
International Journal of Hematology-Oncology and Stem Cell Research	2008-3009	2008-2207	1208	2012-03-29
International Journal of Hepatobiliary and Pancreatic Diseases		2230-9012	1854	2016-02-19
International Journal of Hepatology	2090-3448	2090-3456	100	2018-01-08
International Journal of Herbal Medicine		2321-2187	2039	2014-08-05
International Journal of Heritage and Sustainable Development	1647-4112	2182-2751	3137	2018-01-10
International Journal of Heritage Architecture	2058-8321	2058-833X	511	2016-12-13
